name,method,config,weights,fps,resolution,hardware,dataset,mIoU
Mask2Former_Swin-B,mask2former,configs/mask2former/mask2former_swin-b-in1k-384x384-pre_8xb2-160k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/mask2former/mask2former_swin-b-in1k-384x384-pre_8xb2-160k_ade20k-640x640/mask2former_swin-b-in1k-384x384-pre_8xb2-160k_ade20k-640x640_20221129_125118-35e3a2c7.pth,12.479720454261825,"(640,640)",V100,ADE20K,52.44
Mask2Former_Swin-B (in22k),mask2former,configs/mask2former/mask2former_swin-b-in22k-384x384-pre_8xb2-160k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/mask2former/mask2former_swin-b-in22k-384x384-pre_8xb2-160k_ade20k-640x640/mask2former_swin-b-in22k-384x384-pre_8xb2-160k_ade20k-640x640_20221203_235230-622e093b.pth,12.430080795525171,"(640,640)",V100,ADE20K,53.9
Segformer_MIT-B5,segformer,configs/segformer/segformer_mit-b5_8xb2-160k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b5_640x640_160k_ade20k/segformer_mit-b5_640x640_160k_ade20k_20210801_121243-41d2845b.pth,11.299435028248588,"(640,640)",V100,ADE20K,49.62
UPerNet_ConvNeXt-B,convnext,configs/convnext/convnext-base_upernet_8xb2-amp-160k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/convnext/upernet_convnext_base_fp16_640x640_160k_ade20k/upernet_convnext_base_fp16_640x640_160k_ade20k_20220227_182859-9280e39b.pth,10.880208900010881,"(640,640)",V100,ADE20K,52.13
Mask2Former_Swin-L (in22k),mask2former,configs/mask2former/mask2former_swin-l-in22k-384x384-pre_8xb2-160k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/mask2former/mask2former_swin-l-in22k-384x384-pre_8xb2-160k_ade20k-640x640/mask2former_swin-l-in22k-384x384-pre_8xb2-160k_ade20k-640x640_20221203_235933-5cc76a78.pth,8.809796493700995,"(640,640)",V100,ADE20K,56.01
KNet_Swin-L,knet,configs/knet/knet-s3_swin-l_upernet_8xb2-adamw-80k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/knet/knet_s3_upernet_swin-l_8x2_640x640_adamw_80k_ade20k/knet_s3_upernet_swin-l_8x2_640x640_adamw_80k_ade20k_20220301_220747-8787fc71.pth,8.289811821271657,"(640,640)",V100,ADE20K,52.21
UPerNet_ConvNeXt-L,convnext,configs/convnext/convnext-large_upernet_8xb2-amp-160k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/convnext/upernet_convnext_large_fp16_640x640_160k_ade20k/upernet_convnext_large_fp16_640x640_160k_ade20k_20220226_040532-e57aa54d.pth,7.689941556444172,"(640,640)",V100,ADE20K,53.16
UPerNet_ConvNeXt-XL,convnext,configs/convnext/convnext-xlarge_upernet_8xb2-amp-160k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/convnext/upernet_convnext_xlarge_fp16_640x640_160k_ade20k/upernet_convnext_xlarge_fp16_640x640_160k_ade20k_20220226_080344-95fc38c2.pth,6.3299151791366,"(640,640)",V100,ADE20K,53.58
Segmenter_ViT-L_16,segmenter,configs/segmenter/segmenter_vit-l_mask_8xb1-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segmenter/segmenter_vit-l_mask_8x1_512x512_160k_ade20k/segmenter_vit-l_mask_8x1_512x512_160k_ade20k_20220105_162750-7ef345be.pth,2.619995808006707,"(640,640)",V100,ADE20K,52.16
UPerNet_BEiT-B,beit,configs/beit/beit-base_upernet_8xb2-160k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/beit/upernet_beit-base_8x2_640x640_160k_ade20k/upernet_beit-base_8x2_640x640_160k_ade20k-eead221d.pth,2.0,"(640,640)",V100,ADE20K,53.08
UPerNet_BEiT-L,beit,configs/beit/beit-large_upernet_8xb1-amp-160k_ade20k-640x640.py,https://download.openmmlab.com/mmsegmentation/v0.5/beit/upernet_beit-large_fp16_8x1_640x640_160k_ade20k/upernet_beit-large_fp16_8x1_640x640_160k_ade20k-8fc0dd5d.pth,0.9599969280098303,"(640,640)",V100,ADE20K,56.33
