name,method,config,weights,fps,resolution,hardware,dataset,mIoU
BiSeNetV2_BiSeNetV2,bisenetv2,configs/bisenetv2/bisenetv2_fcn_4xb4-amp-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv2/bisenetv2_fcn_fp16_4x4_1024x1024_160k_cityscapes/bisenetv2_fcn_fp16_4x4_1024x1024_160k_cityscapes_20210902_045942-b979777b.pth,36.64345914254306,"(1024,1024)",V100,Cityscapes,73.07
BiSeNetV1_R-18-D32,bisenetv1,configs/bisenetv1/bisenetv1_r18-d32_4xb4-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv1/bisenetv1_r18-d32_4x4_1024x1024_160k_cityscapes/bisenetv1_r18-d32_4x4_1024x1024_160k_cityscapes_20210922_172239-c55e78e2.pth,31.766200762388817,"(1024,1024)",V100,Cityscapes,74.44
BiSeNetV1_R-18-D32,bisenetv1,configs/bisenetv1/bisenetv1_r18-d32-in1k-pre_4xb4-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv1/bisenetv1_r18-d32_in1k-pre_4x4_1024x1024_160k_cityscapes/bisenetv1_r18-d32_in1k-pre_4x4_1024x1024_160k_cityscapes_20210905_220251-8ba80eff.pth,31.766200762388817,"(1024,1024)",V100,Cityscapes,74.37
BiSeNetV2_BiSeNetV2,bisenetv2,configs/bisenetv2/bisenetv2_fcn_4xb4-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv2/bisenetv2_fcn_4x4_1024x1024_160k_cityscapes/bisenetv2_fcn_4x4_1024x1024_160k_cityscapes_20210902_015551-bcf10f09.pth,31.766200762388817,"(1024,1024)",V100,Cityscapes,73.21
BiSeNetV1_R-18-D32,bisenetv1,configs/bisenetv1/bisenetv1_r18-d32-in1k-pre_4xb8-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv1/bisenetv1_r18-d32_in1k-pre_4x8_1024x1024_160k_cityscapes/bisenetv1_r18-d32_in1k-pre_4x8_1024x1024_160k_cityscapes_20210905_220322-bb8db75f.pth,31.766200762388817,"(1024,1024)",V100,Cityscapes,75.16
BiSeNetV1_R-50-D32,bisenetv1,configs/bisenetv1/bisenetv1_r50-d32_4xb4-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv1/bisenetv1_r50-d32_4x4_1024x1024_160k_cityscapes/bisenetv1_r50-d32_4x4_1024x1024_160k_cityscapes_20210923_222639-7b28a2a6.pth,7.710100231303008,"(1024,1024)",V100,Cityscapes,76.92
BiSeNetV1_R-50-D32,bisenetv1,configs/bisenetv1/bisenetv1_r50-d32-in1k-pre_4xb4-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv1/bisenetv1_r50-d32_in1k-pre_4x4_1024x1024_160k_cityscapes/bisenetv1_r50-d32_in1k-pre_4x4_1024x1024_160k_cityscapes_20210917_234628-8b304447.pth,7.710100231303008,"(1024,1024)",V100,Cityscapes,77.68
Segformer_MIT-B0,segformer,configs/segformer/segformer_mit-b0_8xb1-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b0_8x1_1024x1024_160k_cityscapes/segformer_mit-b0_8x1_1024x1024_160k_cityscapes_20211208_101857-e7f88502.pth,4.740010428022941,"(1024,1024)",V100,Cityscapes,76.54
Segformer_MIT-B1,segformer,configs/segformer/segformer_mit-b1_8xb1-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b1_8x1_1024x1024_160k_cityscapes/segformer_mit-b1_8x1_1024x1024_160k_cityscapes_20211208_064213-655c7b3f.pth,4.299965600275198,"(1024,1024)",V100,Cityscapes,78.56
Segformer_MIT-B2,segformer,configs/segformer/segformer_mit-b2_8xb1-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b2_8x1_1024x1024_160k_cityscapes/segformer_mit-b2_8x1_1024x1024_160k_cityscapes_20211207_134205-6096669a.pth,3.359989248034406,"(1024,1024)",V100,Cityscapes,81.08
Segformer_MIT-B3,segformer,configs/segformer/segformer_mit-b3_8xb1-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b3_8x1_1024x1024_160k_cityscapes/segformer_mit-b3_8x1_1024x1024_160k_cityscapes_20211206_224823-a8f8a177.pth,2.529980266153924,"(1024,1024)",V100,Cityscapes,81.94
Segformer_MIT-B4,segformer,configs/segformer/segformer_mit-b4_8xb1-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b4_8x1_1024x1024_160k_cityscapes/segformer_mit-b4_8x1_1024x1024_160k_cityscapes_20211207_080709-07f6c333.pth,1.8800172961591248,"(1024,1024)",V100,Cityscapes,81.89
Segformer_MIT-B5,segformer,configs/segformer/segformer_mit-b5_8xb1-160k_cityscapes-1024x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b5_8x1_1024x1024_160k_cityscapes/segformer_mit-b5_8x1_1024x1024_160k_cityscapes_20211206_072934-87a052ec.pth,1.3900086180534321,"(1024,1024)",V100,Cityscapes,82.25
