name,method,config,weights,fps,resolution,hardware,dataset,mIoU
FCN_HRNetV2p-W18-Small,hrnet,configs/hrnet/fcn_hr18s_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18s_512x512_20k_voc12aug/fcn_hr18s_512x512_20k_voc12aug_20210829_174910-0aceadb4.pth,43.36513443191674,"(512,512)",V100,Pascal VOC 2012 + Aug,65.5
OCRNet_HRNetV2p-W18-Small,ocrnet,configs/ocrnet/ocrnet_hr18s_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr18s_512x512_20k_voc12aug/ocrnet_hr18s_512x512_20k_voc12aug_20200617_233913-02b04fcb.pth,31.545741324921135,"(512,512)",V100,Pascal VOC 2012 + Aug,71.7
PSPNet_R-50-D8,pspnet,configs/pspnet/pspnet_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r50-d8_512x512_20k_voc12aug/pspnet_r50-d8_512x512_20k_voc12aug_20200617_101958-ed5dfbd9.pth,23.590469450342063,"(512,512)",V100,Pascal VOC 2012 + Aug,76.78
FCN_HRNetV2p-W18,hrnet,configs/hrnet/fcn_hr18_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18_512x512_20k_voc12aug/fcn_hr18_512x512_20k_voc12aug_20200617_224503-488d45f7.pth,23.4796900680911,"(512,512)",V100,Pascal VOC 2012 + Aug,72.3
GCNet_R-50-D8,gcnet,configs/gcnet/gcnet_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/gcnet/gcnet_r50-d8_512x512_20k_voc12aug/gcnet_r50-d8_512x512_20k_voc12aug_20200617_165701-3cbfdab1.pth,23.34812047630166,"(512,512)",V100,Pascal VOC 2012 + Aug,76.42
FCN_R-50-D8,fcn,configs/fcn/fcn_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_r50-d8_512x512_20k_voc12aug/fcn_r50-d8_512x512_20k_voc12aug_20200617_010715-52dc5306.pth,23.277467411545622,"(512,512)",V100,Pascal VOC 2012 + Aug,67.08
UPerNet_R-50,upernet,configs/upernet/upernet_r50_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/upernet/upernet_r50_512x512_20k_voc12aug/upernet_r50_512x512_20k_voc12aug_20200617_165330-5b5890a7.pth,23.169601482854496,"(512,512)",V100,Pascal VOC 2012 + Aug,74.82
ISANet_R-50-D8,isanet,configs/isanet/isanet_r50-d8_4xb4-40k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/isanet/isanet_r50-d8_512x512_40k_voc12aug/isanet_r50-d8_512x512_40k_voc12aug_20210901_151349-7d08a54e.pth,23.078698361412417,"(512,512)",V100,Pascal VOC 2012 + Aug,76.2
ISANet_R-50-D8,isanet,configs/isanet/isanet_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/isanet/isanet_r50-d8_512x512_20k_voc12aug/isanet_r50-d8_512x512_20k_voc12aug_20210901_164838-79d59b80.pth,23.078698361412417,"(512,512)",V100,Pascal VOC 2012 + Aug,76.78
FCN_HRNetV2p-W48,hrnet,configs/hrnet/fcn_hr48_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr48_512x512_20k_voc12aug/fcn_hr48_512x512_20k_voc12aug_20200617_224419-89de05cd.pth,22.05071664829107,"(512,512)",V100,Pascal VOC 2012 + Aug,75.87
NonLocalNet_R-50-D8,nonlocal_net,configs/nonlocal_net/nonlocal_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/nonlocal_net/nonlocal_r50-d8_512x512_20k_voc12aug/nonlocal_r50-d8_512x512_20k_voc12aug_20200617_222613-07f2a57c.pth,21.208907741251327,"(512,512)",V100,Pascal VOC 2012 + Aug,76.2
DeepLabV3+_R-50-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r50-d8_512x512_20k_voc12aug/deeplabv3plus_r50-d8_512x512_20k_voc12aug_20200617_102323-aad58ef1.pth,20.999580008399832,"(512,512)",V100,Pascal VOC 2012 + Aug,75.93
DANet_R-50-D8,danet,configs/danet/danet_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/danet/danet_r50-d8_512x512_20k_voc12aug/danet_r50-d8_512x512_20k_voc12aug_20200618_070026-9e9e3ab3.pth,20.938023450586265,"(512,512)",V100,Pascal VOC 2012 + Aug,74.45
ANN_R-50-D8,ann,configs/ann/ann_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ann/ann_r50-d8_512x512_20k_voc12aug/ann_r50-d8_512x512_20k_voc12aug_20200617_222246-dfcb1c62.pth,20.92050209205021,"(512,512)",V100,Pascal VOC 2012 + Aug,74.86
CCNet_R-50-D8,ccnet,configs/ccnet/ccnet_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ccnet/ccnet_r50-d8_512x512_20k_voc12aug/ccnet_r50-d8_512x512_20k_voc12aug_20200617_193212-fad81784.pth,20.449897750511248,"(512,512)",V100,Pascal VOC 2012 + Aug,76.17
UPerNet_R-101,upernet,configs/upernet/upernet_r101_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/upernet/upernet_r101_512x512_20k_voc12aug/upernet_r101_512x512_20k_voc12aug_20200617_165629-f14e7f27.pth,19.980019980019982,"(512,512)",V100,Pascal VOC 2012 + Aug,77.1
OCRNet_HRNetV2p-W18,ocrnet,configs/ocrnet/ocrnet_hr18_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr18_512x512_20k_voc12aug/ocrnet_hr18_512x512_20k_voc12aug_20200617_233932-8954cbb7.pth,19.908421262193908,"(512,512)",V100,Pascal VOC 2012 + Aug,74.75
PSANet_R-50-D8,psanet,configs/psanet/psanet_r50-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/psanet/psanet_r50-d8_512x512_20k_voc12aug/psanet_r50-d8_512x512_20k_voc12aug_20200617_102413-2f1bbaa1.pth,18.241517694272165,"(512,512)",V100,Pascal VOC 2012 + Aug,76.39
OCRNet_HRNetV2p-W48,ocrnet,configs/ocrnet/ocrnet_hr48_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr48_512x512_20k_voc12aug/ocrnet_hr48_512x512_20k_voc12aug_20200617_233932-9e82080a.pth,17.828489926903192,"(512,512)",V100,Pascal VOC 2012 + Aug,77.72
PSPNet_R-101-D8,pspnet,configs/pspnet/pspnet_r101-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r101-d8_512x512_20k_voc12aug/pspnet_r101-d8_512x512_20k_voc12aug_20200617_102003-4aef3c9a.pth,15.019525382997898,"(512,512)",V100,Pascal VOC 2012 + Aug,78.47
FCN_R-101-D8,fcn,configs/fcn/fcn_r101-d8_4xb4-20k_voc12aug-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_r101-d8_512x512_20k_voc12aug/fcn_r101-d8_512x512_20k_voc12aug_20200617_010842-0bb4e798.pth,14.810426540284361,"(512,512)",V100,Pascal VOC 2012 + Aug,71.16
