name,method,config,weights,fps,resolution,hardware,dataset,mIoU
PSPNet_R-18-D8,pspnet,configs/pspnet/pspnet_r18-d8_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r18-d8_4x4_512x512_80k_potsdam/pspnet_r18-d8_4x4_512x512_80k_potsdam_20211220_125612-7cd046e1.pth,85.1063829787234,"(512,512)",V100,Potsdam,77.09
PSPNet_R-18-D8,pspnet,configs/pspnet/pspnet_r18-d8_4xb4-80k_vaihingen-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r18-d8_4x4_512x512_80k_vaihingen/pspnet_r18-d8_4x4_512x512_80k_vaihingen_20211228_160355-52a8a6f6.pth,85.03401360544218,"(512,512)",V100,Vaihingen,71.46
DeepLabV3+_R-18-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r18-d8_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r18-d8_512x512_80k_potsdam/deeplabv3plus_r18-d8_512x512_80k_potsdam_20211219_020601-75fd5bc3.pth,81.69934640522875,"(512,512)",V100,Potsdam,77.09
BiSeNetV1_R-18-D32,bisenetv1,configs/bisenetv1/bisenetv1_r18-d32-in1k-pre_4xb4-160k_coco-stuff164k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv1/bisenetv1_r18-d32_in1k-pre_lr5e-3_4x4_512x512_160k_coco-stuff164k/bisenetv1_r18-d32_in1k-pre_lr5e-3_4x4_512x512_160k_coco-stuff164k_20211023_013100-f700dbf7.pth,74.23904974016332,"(512,512)",V100,COCO-Stuff 164k,28.55
DeepLabV3+_R-18-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r18-d8_4xb4-80k_vaihingen-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r18-d8_4x4_512x512_80k_vaihingen/deeplabv3plus_r18-d8_4x4_512x512_80k_vaihingen_20211231_230805-7626a263.pth,72.7802037845706,"(512,512)",V100,Vaihingen,72.5
FCN_M-V2-D8,mobilenet_v2,configs/mobilenet_v2/mobilenet-v2-d8_fcn_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/fcn_m-v2-d8_512x512_160k_ade20k/fcn_m-v2-d8_512x512_160k_ade20k_20200825_214953-c40e1095.pth,64.39150032195751,"(512,512)",V100,ADE20K,19.71
PSPNet_M-V2-D8,mobilenet_v2,configs/mobilenet_v2/mobilenet-v2-d8_pspnet_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/pspnet_m-v2-d8_512x512_160k_ade20k/pspnet_m-v2-d8_512x512_160k_ade20k_20200825_214953-f5942f7a.pth,57.70340450086556,"(512,512)",V100,ADE20K,29.68
FastSCNN_FastSCNN,fastscnn,configs/fastscnn/fast_scnn_8xb4-160k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/fast_scnn/fast_scnn_lr0.12_8x4_160k_cityscapes/fast_scnn_lr0.12_8x4_160k_cityscapes_20210630_164853-0cec9937.pth,56.4652738565782,"(512,1024)",V100,Cityscapes,70.96
FPN_R-50,sem_fpn,configs/sem_fpn/fpn_r50_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/sem_fpn/fpn_r50_512x512_160k_ade20k/fpn_r50_512x512_160k_ade20k_20200718_131734-5b5a6ab9.pth,55.77244841048522,"(512,512)",V100,ADE20K,37.49
Segformer_MIT-B0,segformer,configs/segformer/segformer_mit-b0_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b0_512x512_160k_ade20k/segformer_mit-b0_512x512_160k_ade20k_20210726_101530-8ffa8fda.pth,51.30836326321191,"(512,512)",V100,ADE20K,37.41
